100000,16
200000,24
300000,33
400000,45
500000,58
600000,75
700000,91
800000,93
900000,101
1000000,126
1100000,134
1200000,135
1300000,149
1400000,168
1500000,173
1600000,182
1700000,194
1800000,203
1900000,220
2000000,228
2100000,248
2200000,268
2300000,268
2400000,270
2500000,273
2600000,299
2700000,306
2800000,316
2900000,343
3000000,373
3100000,373
3200000,380
3300000,402
3400000,415
3500000,407
3600000,430
3700000,427
3800000,450
3900000,480
4000000,493
4100000,480
4200000,507
4300000,523
4400000,539
4500000,548
4600000,559
4700000,594
4800000,929
4900000,724
5000000,749
5100000,645
5200000,661
5300000,667
5400000,721
5500000,705
5600000,720
5700000,739
5800000,760
5900000,775
6000000,767
6100000,810
6200000,822
6300000,820
6400000,841
6500000,843
6600000,854
6700000,879
6800000,913
6900000,946
7000000,936
7100000,933
7200000,983
7300000,971
7400000,1014
7500000,1032
7600000,1019
7700000,1052
7800000,1099
7900000,1553
8000000,1189
8100000,1170
8200000,1135
8300000,1164
8400000,1183
8500000,1200
8600000,1237
8700000,1223
8800000,1247
8900000,1251
9000000,1283
9100000,1326
9200000,1325
9300000,1326
9400000,1339
9500000,1378
9600000,1419
9700000,1740
9800000,1563
9900000,1892
10000000,1621
